slug,phase,event_time,description
sl-6-78,post_launch,00:08:23,1st stage landing
sl-6-78,post_launch,00:08:38,2nd stage engine cutoff (SECO-1)
sl-6-78,post_launch,00:53:45,2nd stage engine starts (SES-2)
sl-6-78,post_launch,00:53:46,2nd stage engine cutoff (SECO-2)
sl-6-78,post_launch,01:04:52,Starlink satellites deploy
sl-6-90,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-6-90,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-6-90,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-6-90,pre_launch,00:16:00,2nd stage LOX loading begins
sl-6-90,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-6-90,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-6-90,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-6-90,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-6-90,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-6-90,pre_launch,00:00:00,Falcon 9 liftoff
sl-6-90,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-6-90,post_launch,00:02:24,1st stage main engine cutoff (MECO)
sl-6-90,post_launch,00:02:27,1st and 2nd stages separate
sl-6-90,post_launch,00:02:35,2nd stage engine starts (SES-1)
sl-6-90,post_launch,00:02:56,Fairing separation
sl-6-90,post_launch,00:06:07,1st stage entry burn begins
sl-6-90,post_launch,00:06:34,1st stage entry burn ends
sl-6-90,post_launch,00:07:58,1st stage landing burn begins
sl-6-90,post_launch,00:08:22,1st stage landing
sl-6-90,post_launch,00:08:38,2nd stage engine cutoff (SECO-1)
sl-6-90,post_launch,00:53:55,2nd stage engine starts (SES-2)
sl-6-90,post_launch,00:53:57,2nd stage engine cutoff (SECO-2)
sl-6-90,post_launch,01:05:02,Starlink satellites deploy
sl-17-34,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-17-34,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-17-34,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-17-34,pre_launch,00:16:00,2nd stage LOX loading begins
sl-17-34,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-17-34,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-17-34,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-17-34,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-17-34,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-17-34,pre_launch,00:00:00,Falcon 9 liftoff
sl-17-34,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-17-34,post_launch,00:02:24,1st stage main engine cutoff (MECO)
sl-17-34,post_launch,00:02:28,1st and 2nd stages separate
sl-17-34,post_launch,00:02:35,2nd stage engine starts (SES-1)
sl-17-34,post_launch,00:02:55,Fairing separation
sl-17-34,post_launch,00:06:07,1st stage entry burn begins
sl-17-34,post_launch,00:06:34,1st stage entry burn ends
sl-17-34,post_launch,00:07:59,1st stage landing burn begins
sl-17-34,post_launch,00:08:22,1st stage landing
sl-17-34,post_launch,00:08:39,2nd stage engine cutoff (SECO-1)
sl-17-34,post_launch,00:54:04,2nd stage engine starts (SES-2)
sl-17-34,post_launch,00:54:05,2nd stage engine cutoff (SECO-2)
sl-17-34,post_launch,01:02:55,Starlink satellites deploy
sl-11-23,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-11-23,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-11-23,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-11-23,pre_launch,00:16:00,2nd stage LOX loading begins
sl-11-23,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-11-23,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-11-23,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-11-23,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-11-23,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-11-23,pre_launch,00:00:00,Falcon 9 liftoff
sl-11-23,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-11-23,post_launch,00:02:24,1st stage main engine cutoff (MECO)
sl-11-23,post_launch,00:02:28,1st and 2nd stages separate
sl-11-23,post_launch,00:02:36,2nd stage engine starts (SES-1)
sl-11-23,post_launch,00:02:56,Fairing separation
sl-11-23,post_launch,00:06:12,1st stage entry burn begins
sl-11-23,post_launch,00:06:38,1st stage entry burn ends
sl-11-23,post_launch,00:08:00,1st stage landing burn begins
sl-11-23,post_launch,00:08:24,1st stage landing
sl-11-23,post_launch,00:08:39,2nd stage engine cutoff (SECO-1)
sl-11-23,post_launch,00:53:24,2nd stage engine starts (SES-2)
sl-11-23,post_launch,00:53:25,2nd stage engine cutoff (SECO-2)
sl-11-23,post_launch,01:00:16,Starlink satellites deploy
sl-17-24,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-17-24,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-17-24,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-17-24,pre_launch,00:16:00,2nd stage LOX loading begins
sl-17-24,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-17-24,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-17-24,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-17-24,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-17-24,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-17-24,pre_launch,00:00:00,Falcon 9 liftoff
sl-17-24,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-17-24,post_launch,00:02:26,1st stage main engine cutoff (MECO)
sl-17-24,post_launch,00:02:30,1st and 2nd stages separate
sl-17-24,post_launch,00:02:37,2nd stage engine starts (SES-1)
sl-17-24,post_launch,00:02:59,Fairing separation
sl-17-24,post_launch,00:05:59,1st stage entry burn begins
sl-17-24,post_launch,00:06:19,1st stage entry burn ends
sl-17-24,post_launch,00:07:51,1st stage landing burn begins
sl-17-24,post_launch,00:08:13,1st stage landing
sl-17-24,post_launch,00:08:40,2nd stage engine cutoff (SECO-1)
sl-17-24,post_launch,00:52:57,2nd stage engine starts (SES-2)
sl-17-24,post_launch,00:52:58,2nd stage engine cutoff (SECO-2)
sl-17-24,post_launch,01:01:48 ,Starlink satellites deploy
sl-6-79,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-6-79,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-6-79,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-6-79,pre_launch,00:16:00,2nd stage LOX loading begins
sl-6-79,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-6-79,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-6-79,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-6-79,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-6-79,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-6-79,pre_launch,00:00:00,Falcon 9 liftoff
sl-6-79,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-6-79,post_launch,00:02:24,1st stage main engine cutoff (MECO)
sl-6-79,post_launch,00:02:28,1st and 2nd stages separate
sl-6-79,post_launch,00:02:36,2nd stage engine starts (SES-1)
sl-6-79,post_launch,00:02:56,Fairing separation
sl-6-79,post_launch,00:06:09,1st stage entry burn begins
sl-6-79,post_launch,00:06:36,1st stage entry burn ends
sl-6-79,post_launch,00:07:59,1st stage landing burn begins
sl-6-79,post_launch,00:08:24,1st stage landing
sl-6-79,post_launch,00:08:39,2nd stage engine cutoff (SECO-1)
sl-6-79,post_launch,00:53:53,2nd stage engine starts (SES-2)
sl-6-79,post_launch,00:53:54,2nd stage engine cutoff (SECO-2)
sl-6-79,post_launch,01:05:00,Starlink satellites deploy
sl-10-46,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-10-46,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-10-46,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-10-46,pre_launch,00:16:00,2nd stage LOX loading begins
sl-10-46,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-10-46,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-10-46,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-10-46,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-10-46,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-10-46,pre_launch,00:00:00,Falcon 9 liftoff
sl-10-46,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-10-46,post_launch,00:02:24,1st stage main engine cutoff (MECO)
sl-10-46,post_launch,00:02:28,1st and 2nd stages separate
sl-10-46,post_launch,00:02:34,2nd stage engine starts (SES-1)
sl-10-46,post_launch,00:02:56,Fairing separation
sl-10-46,post_launch,00:06:08,1st stage entry burn begins
sl-10-46,post_launch,00:06:34,1st stage entry burn ends
sl-10-46,post_launch,00:07:55,1st stage landing burn begins
sl-10-46,post_launch,00:08:20,1st stage landing
sl-10-46,post_launch,00:08:39,2nd stage engine cutoff (SECO-1)
sl-10-46,post_launch,00:54:41,2nd stage engine starts (SES-2)
sl-10-46,post_launch,00:54:43,2nd stage engine cutoff (SECO-2)
sl-10-46,post_launch,01:04:03,Starlink satellites deploy
ussf36,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
ussf36,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
ussf36,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
ussf36,pre_launch,00:16:00,2nd stage LOX loading begins
ussf36,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
ussf36,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
ussf36,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
ussf36,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
ussf36,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
ussf36,pre_launch,00:00:00,Falcon 9 liftoff
ussf36,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
ussf36,post_launch,00:02:14,1st stage main engine cutoff (MECO) 
ussf36,post_launch,00:02:18,1st and 2nd stages separate 
ussf36,post_launch,00:02:25,2nd stage engine starts (SES-1)
ussf36,post_launch,00:02:31,Boostback burn starts
ussf36,post_launch,00:02:46,Fairing separation
ussf36,post_launch,00:03:16,Boostback burn ends
ussf36,post_launch,00:06:53,1st stage entry burn starts
ussf36,post_launch,00:07:18,1st stage entry burn ends
ussf36,post_launch,00:08:06,1st stage landing burn starts
ussf36,post_launch,00:08:34,1st stage landing
starship-flight-11,pre_launch,01:15:00,SpaceX Flight Director conducts poll and verifies GO for propellant load
starship-flight-11,pre_launch,00:53:00,Ship fuel (liquid methane) load underway
starship-flight-11,pre_launch,00:46:10,Ship LOX (liquid oxygen) load underway
starship-flight-11,pre_launch,00:41:15,Booster fuel load underway
starship-flight-11,pre_launch,00:35:52,Booster LOX load underway
starship-flight-11,pre_launch,00:19:40,Raptor begins engine chill on booster and ship
starship-flight-11,pre_launch,00:03:20,Ship propellant load complete
starship-flight-11,pre_launch,00:02:50,Booster propellant load complete
starship-flight-11,pre_launch,00:00:30,SpaceX flight director verifies GO for launch
starship-flight-11,pre_launch,00:00:10,Flame deflector activation
starship-flight-11,pre_launch,00:00:03,Raptor ignition sequence begins
starship-flight-11,pre_launch,00:00:00,Excitement guaranteed
starship-flight-11,post_launch,00:00:02,Liftoff
starship-flight-11,post_launch,00:01:02,Max Q (moment of peak aerodynamic stress on the rocket)
starship-flight-11,post_launch,00:02:37,Super Heavy MECO (most engines cut off)
starship-flight-11,post_launch,00:02:39,Hot-staging (Starship Raptor ignition and stage separation)
starship-flight-11,post_launch,00:02:49,Super Heavy boostback burn start
starship-flight-11,post_launch,00:03:38,Super Heavy boostback burn shutdown
starship-flight-11,post_launch,00:03:40,Hot-stage jettison
starship-flight-11,post_launch,00:06:20,Super Heavy landing burn start
starship-flight-11,post_launch,00:06:36,Super Heavy landing burn shutdown 
starship-flight-11,post_launch,00:08:58,Starship engine cutoff
starship-flight-11,post_launch,00:18:28,Payload deploy demo start
starship-flight-11,post_launch,00:25:33,Payload deploy demo complete
starship-flight-11,post_launch,00:37:49,Raptor in-space relight demo
starship-flight-11,post_launch,00:47:43,Starship entry
starship-flight-11,post_launch,01:03:30,Starship is transonic
starship-flight-11,post_launch,01:03:52,Starship is subsonic
starship-flight-11,post_launch,01:05:58,Landing burn start
starship-flight-11,post_launch,01:06:00,Landing flip
starship-flight-11,post_launch,01:06:09,Landing burn 3 to 2 engines
starship-flight-11,post_launch,01:06:25,An exciting landing!
sl-17-3,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-17-3,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-17-3,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-17-3,pre_launch,00:16:00,2nd stage LOX loading begins
sl-17-3,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-17-3,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-17-3,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-17-3,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-17-3,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-17-3,pre_launch,00:00:00,Falcon 9 liftoff
sl-17-3,post_launch,00:01:12,Max Q (Moment of peak mechanical stress on the rocket)
sl-17-3,post_launch,00:02:25 ,1st stage main engine cutoff (MECO)
sl-17-3,post_launch,00:02:29 ,1st and 2nd stages separate
sl-17-3,post_launch,00:02:36 ,2nd stage engine starts (SES-1)
sl-17-3,post_launch,00:02:55 ,Fairing separation 
sl-17-3,post_launch,00:06:06 ,1st stage entry burn begins
sl-17-3,post_launch,00:06:29 ,1st stage entry burn ends
sl-17-3,post_launch,00:07:57 ,1st stage landing burn begins
sl-17-3,post_launch,00:08:21 ,1st stage landing 
sl-17-3,post_launch,00:08:39 ,2nd stage engine cutoff (SECO-1)
sl-17-3,post_launch,00:53:43,2nd stage engine starts (SES-2)
sl-17-3,post_launch,00:53:45 ,2nd stage engine cutoff (SECO-2)
sl-17-3,post_launch,01:02:35,Starlink satellites deploy
sda-t1tl-c,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sda-t1tl-c,post_launch,00:02:29,1st stage main engine cutoff (MECO)
sda-t1tl-c,post_launch,00:02:33,1st and 2nd stages separate
sda-t1tl-c,post_launch,00:02:40,2nd stage engine starts (SES-1)
sda-t1tl-c,post_launch,00:03:16,Fairing deployment
sda-t1tl-c,post_launch,00:06:33,1st stage entry burn begins
sda-t1tl-c,post_launch,00:06:58,1st stage entry burn ends
sda-t1tl-c,post_launch,00:08:17,1st stage landing burn begins
sda-t1tl-c,post_launch,00:08:33,2nd stage engine cutoff (SECO-1)
sda-t1tl-c,post_launch,00:08:41,1st stage landing
sl-17-6,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-17-6,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-17-6,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-17-6,pre_launch,00:16:00,2nd stage LOX loading begins
sl-17-6,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-17-6,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-17-6,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-17-6,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-17-6,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-17-6,pre_launch,00:00:00,Falcon 9 liftoff
sl-17-6,post_launch,00:01:12,Max Q (Moment of peak mechanical stress on the rocket)
sl-17-6,post_launch,00:02:26,1st stage main engine cutoff (MECO)
sl-17-6,post_launch,00:02:29,1st and 2nd stages separate
sl-17-6,post_launch,00:02:36,2nd stage engine starts (SES-1)
sl-17-6,post_launch,00:02:55,Fairing separation 
sl-17-6,post_launch,00:06:07,1st stage entry burn begins
sl-17-6,post_launch,00:06:29,1st stage entry burn ends
sl-17-6,post_launch,00:07:57,1st stage landing burn begins
sl-17-6,post_launch,00:08:20,1st stage landing
sl-17-6,post_launch,00:08:39,2nd stage engine cutoff (SECO-1)
sl-17-6,post_launch,00:53:44,2nd stage engine starts (SES-2)
sl-17-6,post_launch,00:53:45,2nd stage engine cutoff (SECO-2)
sl-17-6,post_launch,01:02:36,Starlink satellites deploy
nrol105,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
nrol105,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
nrol105,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
nrol105,pre_launch,00:16:00,2nd stage LOX loading begins
nrol105,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
nrol105,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
nrol105,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
nrol105,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
nrol105,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
nrol105,pre_launch,00:00:00,Falcon 9 liftoff
nrol105,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
nrol105,post_launch,00:02:11,1st stage main engine cutoff (MECO)
nrol105,post_launch,00:02:14,1st and 2nd stages separate
nrol105,post_launch,00:02:22,2nd stage engine starts (SES-1)
nrol105,post_launch,00:02:27,Boostback burn starts
nrol105,post_launch,00:02:56,Fairing separation
nrol105,post_launch,00:03:21,Boostback burn ends
nrol105,post_launch,00:06:00,1st stage entry burn begins
nrol105,post_launch,00:06:16,1st stage entry burn ends
nrol105,post_launch,00:07:14,1st stage landing burn begins
nrol105,post_launch,00:07:40,1st stage lands on Landing Zone 4
sl-15-12,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-15-12,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-15-12,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-15-12,pre_launch,00:16:00,2nd stage LOX loading begins
sl-15-12,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-15-12,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-15-12,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-15-12,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-15-12,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-15-12,pre_launch,00:00:00,Falcon 9 liftoff
sl-15-12,post_launch,00:01:12,"Max Q (moment of peak mechanical stress on the rocket)
"
sl-15-12,post_launch,00:02:25,"1st stage main engine cutoff (MECO)
"
sl-15-12,post_launch,00:02:28,"1st and 2nd stages separate
"
sl-15-12,post_launch,00:02:35,"2nd stage engine starts (SES-1)
"
sl-15-12,post_launch,00:02:55,"Fairing separation
"
sl-15-12,post_launch,00:06:06,"1st stage entry burn begins
"
sl-15-12,post_launch,00:06:29,"1st stage entry burn ends
"
sl-15-12,post_launch,00:07:58,"1st stage landing burn begins
"
sl-15-12,post_launch,00:08:21,"1st stage landing
"
sl-15-12,post_launch,00:08:38,"2nd stage engine cutoff (SECO-1)
"
sl-15-12,post_launch,00:52:41,"2nd stage engine starts (SES-2)
"
sl-15-12,post_launch,00:52:42,"2nd stage engine cutoff (SECO-2)
"
sl-15-12,post_launch,01:01:32,"Starlink satellites deploy

"
bandwagon-4,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
bandwagon-4,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
bandwagon-4,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
bandwagon-4,pre_launch,00:16:00,2nd stage LOX loading begins
bandwagon-4,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
bandwagon-4,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
bandwagon-4,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
bandwagon-4,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
bandwagon-4,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
bandwagon-4,pre_launch,00:00:00,Falcon 9 liftoff
bandwagon-4,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
bandwagon-4,post_launch,00:02:14,1st stage main engine cutoff (MECO)
bandwagon-4,post_launch,00:02:18,1st and 2nd stages separate
bandwagon-4,post_launch,00:02:22,Stage 1 flip
bandwagon-4,post_launch,00:02:26,2nd stage engine starts (SES-1)
bandwagon-4,post_launch,00:02:31,Boostback burn starts
bandwagon-4,post_launch,00:02:41,Fairing separation
bandwagon-4,post_launch,00:03:13,Boostback burn ends
bandwagon-4,post_launch,00:06:09,1st stage entry burn begins
bandwagon-4,post_launch,00:06:31,1st stage entry burn ends
bandwagon-4,post_launch,00:07:18,1st stage landing burn begins
bandwagon-4,post_launch,00:07:46,1st stage landing
bandwagon-4,post_launch,00:09:38,2nd stage engine cutoff (SECO-1)
bandwagon-4,post_launch,00:12:14,"425 Korea deploys, manifested by Agency for Defense Development (ADD)"
bandwagon-4,post_launch,00:37:51,2nd stage engine starts (SES-2)
bandwagon-4,post_launch,00:37:52,2nd stage engine cutoff (SECO-2)
bandwagon-4,post_launch,00:59:30,2nd stage engine starts (SES-3)
bandwagon-4,post_launch,00:59:31,2nd stage engine cutoff (SECO-3)
bandwagon-4,post_launch,01:09:02,"TAURUS 1-4 deploy, manifested by Exolaunch"
bandwagon-4,post_launch,01:09:15,"SEMI-2 deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:09:27,"SEMI-3 deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:09:30	,"CEVROSAT-1 deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:10:13,"LEMUR-2-AFFIE-WAUWIE deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:10:16,"Haven demo deploys, manifested by Vast"
bandwagon-4,post_launch,01:10:40,"Tomorrow-S8 deploys, manifested by Tomorrow Companies Inc."
bandwagon-4,post_launch,01:10:59,"SEMI-1 deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:11:15,"ICEYE 2 deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:11:37,"Tomorrow-S9 deploys, manifested by Tomorrow Companies Inc."
bandwagon-4,post_launch,01:12:20,"ICEYE 1 deploys, manifested by Exolaunch"
bandwagon-4,post_launch,01:12:33,"FGN-100-d2 deploys, manifested by Fergani"
bandwagon-4,post_launch,01:13:38	,"Starcloud-1 deploys, manifested by Starcloud"
bandwagon-4,post_launch,01:13:43,"ICEYE 3 deploys, manifested by Exolaunch"
sl-11-30,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-11-30,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-11-30,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
